File name,Source,Subfolder,Title,Originality,Shown in,Original author,Author,License,Link to author,Link to license,Note
read-btn.png,btns.svg,readme,,Derivative work,`README.md`,"Nguyen Hoang Duong, Icons8, Lance Anderson",Nguyen Hoang Duong,"Creative Commons Zero v1.0 Universal, Creative Commons Attribution-NoDerivs 3.0 Unported, Unsplash license","https://github.com/you-create, https://github.com/you-create, https://icons8.com/, https://unsplash.com/@lanceanderson/portfolio","https://creativecommons.org/publicdomain/zero/1.0/legalcode, https://creativecommons.org/licenses/by-nd/3.0/legalcode, https://unsplash.com/license","Icon by Icons8, background image by Lance Anderson (cropped)."
glossary-btn.png,btns.svg,readme,,Derivative work,`README.md`,"Nguyen Hoang Duong, Icons8, Lance Anderson",Nguyen Hoang Duong,"Creative Commons Zero v1.0 Universal, Creative Commons Attribution-NoDerivs 3.0 Unported, Unsplash license","https://github.com/you-create, https://github.com/you-create, https://icons8.com/, https://unsplash.com/@lanceanderson/portfolio","https://creativecommons.org/publicdomain/zero/1.0/legalcode, https://creativecommons.org/licenses/by-nd/3.0/legalcode, https://unsplash.com/license","Icon by Icons8, background image by Lance Anderson (cropped)."
credits-btn.png,btns.svg,readme,,Derivative work,`README.md`,"Nguyen Hoang Duong, Icons8, Lance Anderson",Nguyen Hoang Duong,"Creative Commons Zero v1.0 Universal, Creative Commons Attribution-NoDerivs 3.0 Unported, Unsplash license","https://github.com/you-create, https://github.com/you-create, https://icons8.com/, https://unsplash.com/@lanceanderson/portfolio","https://creativecommons.org/publicdomain/zero/1.0/legalcode, https://creativecommons.org/licenses/by-nd/3.0/legalcode, https://unsplash.com/license","Icon by Icons8, background image by Lance Anderson (cropped)."
license-btn.png,btns.svg,readme,,Derivative work,`README.md`,"Nguyen Hoang Duong, Icons8, Lance Anderson",Nguyen Hoang Duong,"Creative Commons Zero v1.0 Universal, Creative Commons Attribution-NoDerivs 3.0 Unported, Unsplash license","https://github.com/you-create, https://github.com/you-create, https://icons8.com/, https://unsplash.com/@lanceanderson/portfolio","https://creativecommons.org/publicdomain/zero/1.0/legalcode, https://creativecommons.org/licenses/by-nd/3.0/legalcode, https://unsplash.com/license","Icon by Icons8, background image by Lance Anderson (cropped)."
bash-example.png,,prem,,Original work,"Preamble, Chapter 0",,Rafael S. T. Vieira,Public Domain,,,Taken from Wikimedia Commons ([link](https://commons.wikimedia.org/wiki/File:Bash_examples.png)).
fedo_core_2-screenshot.png,,ch00,,Original work,Chapter 0,,Mewtu (Wikimedia user),Public Domain,,,Taken from Wikimedia Commons ([link](https://commons.wikimedia.org/wiki/File:Fedora_Core_2.png)).
misleading_button.png,misleading_button.svg,ch00,Misleading button example,Derivative work,Chapter 0,"Nguyen Hoang Duong, Google LLC",Nguyen Hoang Duong,"Creative Commons Zero v1.0 Universal, Apache License 2.0","https://github.com/you-create, https://github.com/you-create, https://google.github.io/material-design-icons/","https://creativecommons.org/publicdomain/zero/1.0/legalcode, https://www.apache.org/licenses/LICENSE-2.0.txt",
cli_components.png,cli_components.svg,ch00,3 Types of Components in a Command Line Session,Original work,Chapter 0,,Nguyen Hoang Duong,Creative Commons Zero v1.0 Universal,https://github.com/you-create,https://creativecommons.org/publicdomain/zero/1.0/legalcode,
cli_session.gif,,ch00,,Original work,Chapter 0,,Nguyen Hoang Duong,Creative Commons Zero v1.0 Universal,https://github.com/you-create,https://creativecommons.org/publicdomain/zero/1.0/legalcode,
gui_over_cli.png,gui_over_cli.svg,ch00,GUI over CLI,Original work,Chapter 0,,Nguyen Hoang Duong,Creative Commons Zero v1.0 Universal,https://github.com/you-create,https://creativecommons.org/publicdomain/zero/1.0/legalcode,
